epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,5922.7,0.8165,0.38564,1.04142,0.97661,0.96875,0.9927,0.77564,0.87731,0.34024,1.0838,0.002938,0.002938,0.002938
109,5977.4,0.83309,0.38752,1.04264,0.97896,0.97157,0.99218,0.78346,0.86632,0.33979,1.07126,0.002872,0.002872,0.002872
110,6032.1,0.82148,0.38762,1.04699,0.9813,0.97416,0.99269,0.79011,0.85874,0.33583,1.06653,0.002806,0.002806,0.002806
111,6086.99,0.84132,0.39707,1.04936,0.98404,0.96172,0.99264,0.77183,0.87563,0.33735,1.08107,0.00274,0.00274,0.00274
112,6141.65,0.83094,0.39116,1.05562,0.9666,0.97353,0.9925,0.78918,0.83754,0.3309,1.05725,0.002674,0.002674,0.002674
113,6196.4,0.82484,0.38414,1.03893,0.97117,0.97689,0.99225,0.78334,0.84571,0.34397,1.06632,0.002608,0.002608,0.002608
114,6251.09,0.82054,0.39289,1.04721,0.97056,0.97448,0.99251,0.78362,0.86377,0.34001,1.07217,0.002542,0.002542,0.002542
115,6305.79,0.81587,0.38536,1.04522,0.97326,0.97111,0.99221,0.7825,0.86269,0.33671,1.07142,0.002476,0.002476,0.002476
116,6360.61,0.8098,0.37417,1.03405,0.96896,0.97764,0.99214,0.78519,0.85832,0.33627,1.07325,0.00241,0.00241,0.00241
117,6415.35,0.81947,0.37845,1.04175,0.97755,0.95995,0.99132,0.77385,0.87527,0.33933,1.08123,0.002344,0.002344,0.002344
118,6470.19,0.80759,0.37694,1.03254,0.98438,0.96404,0.99187,0.76799,0.88182,0.34273,1.08458,0.002278,0.002278,0.002278
119,6524.96,0.81462,0.37897,1.04485,0.98283,0.971,0.99294,0.79179,0.82807,0.32253,1.05527,0.002212,0.002212,0.002212
120,6579.69,0.80434,0.37429,1.03435,0.97658,0.96741,0.99202,0.77562,0.85312,0.33613,1.07435,0.002146,0.002146,0.002146
121,6634.53,0.80598,0.37318,1.03413,0.97787,0.96636,0.99224,0.77667,0.85877,0.33921,1.07234,0.00208,0.00208,0.00208
122,6689.26,0.81139,0.37453,1.04604,0.97707,0.971,0.9924,0.78024,0.85497,0.33549,1.07043,0.002014,0.002014,0.002014
123,6743.99,0.80044,0.37201,1.03274,0.98152,0.96752,0.99254,0.77982,0.83986,0.33396,1.05921,0.001948,0.001948,0.001948
124,6798.74,0.80665,0.37167,1.03243,0.98114,0.96566,0.99291,0.76963,0.87085,0.35426,1.08045,0.001882,0.001882,0.001882
125,6853.49,0.80504,0.37185,1.03379,0.98466,0.96816,0.99296,0.77508,0.85765,0.33499,1.07126,0.001816,0.001816,0.001816
126,6908.36,0.80719,0.36545,1.03012,0.98196,0.97216,0.99305,0.78162,0.8401,0.34578,1.066,0.00175,0.00175,0.00175
127,6963.06,0.80591,0.37541,1.03907,0.98241,0.9719,0.99284,0.78483,0.83341,0.33106,1.06331,0.001684,0.001684,0.001684
128,7017.82,0.79999,0.37139,1.03241,0.98696,0.96618,0.99239,0.79086,0.84074,0.32885,1.06499,0.001618,0.001618,0.001618
129,7072.54,0.79989,0.37399,1.03087,0.98467,0.9685,0.99262,0.78194,0.862,0.33295,1.07237,0.001552,0.001552,0.001552
130,7127.21,0.78984,0.36735,1.02885,0.98364,0.971,0.99307,0.78577,0.83782,0.32605,1.06114,0.001486,0.001486,0.001486
131,7182.1,0.78707,0.36096,1.02663,0.96909,0.97796,0.99223,0.78299,0.85585,0.32943,1.07122,0.00142,0.00142,0.00142
132,7236.84,0.77926,0.36086,1.0273,0.98503,0.9652,0.99262,0.79131,0.84319,0.32417,1.06307,0.001354,0.001354,0.001354
133,7291.53,0.78796,0.366,1.02361,0.98811,0.96428,0.99281,0.78947,0.84352,0.3226,1.0638,0.001288,0.001288,0.001288
134,7346.29,0.79115,0.36013,1.02199,0.98012,0.9724,0.99275,0.77777,0.85625,0.32779,1.07182,0.001222,0.001222,0.001222
135,7401.03,0.77843,0.35098,1.02089,0.98182,0.971,0.99191,0.7786,0.85434,0.33009,1.07244,0.001156,0.001156,0.001156
